60,187,0.006096,63
125,106,0.006096,156
139,112,0.0067056,209
133,264,0.00762,150
29,231,0.0094488,29
119,281,0.0094488,207
100,253,0.0103632,112
122,145,0.0103632,179
171,176,0.0115824,208
48,237,0.012192,50
150,67,0.012192,223
7,223,0.0140208,7
56,263,0.0149352,149
59,136,0.016154399,62
92,252,0.016459199,178
129,262,0.017068799,145
50,32,0.017373599,53
157,278,0.017373599,185
179,285,0.017678399,227
58,205,0.018287999,61
160,94,0.018287999,261
97,9,0.018592799,109
163,43,0.019811999,198
165,280,0.020421599,200
175,137,0.020726399,221
138,113,0.021031199,157
92,250,0.021640799,104
10,31,0.021945599,10
96,149,0.021945599,151
25,228,0.022250399,25
202,96,0.022555199,266
199,239,0.023164799,255
49,76,0.023469599,52
4,44,0.023469599,100
16,23,0.023774399,42
52,239,0.023774399,55
61,179,0.023774399,212
114,68,0.024383999,128
154,86,0.024383999,192
125,178,0.024688799,141
167,157,0.024688799,202
80,287,0.024688799,231
146,191,0.025298399,170
37,193,0.025298399,191
43,235,0.025603199,44
184,190,0.025603199,238
214,57,0.025603199,287
15,144,0.025907999,260
205,294,0.026212799,269
65,93,0.026517599,70
151,276,0.027127199,176
198,88,0.027127199,254
83,152,0.027431999,93
107,142,0.027431999,120
190,268,0.027736799,245
194,90,0.028041599,250
124,74,0.028346399,140
43,283,0.028346399,219
75,71,0.028955999,83
136,265,0.028955999,154
61,148,0.029260799,278
80,246,0.029870399,88
91,249,0.029870399,103
108,175,0.029870399,121
19,69,0.030175199,19
121,46,0.030175199,135
111,82,0.030479999,138
173,282,0.030479999,217
111,257,0.030784799,124
113,143,0.030784799,127
104,36,0.031089599,117
117,183,0.031394399,131
122,261,0.031394399,137
112,258,0.031699199,126
150,275,0.032613599,175
154,272,0.032918399,182
54,102,0.033527999,57
183,158,0.033527999,237
53,97,0.033832799,56
23,170,0.033832799,75
81,199,0.033832799,89
13,101,0.034137599,92
218,129,0.034137599,292
149,7,0.034442399,173
208,65,0.034442399,279
20,128,0.034747199,20
73,32,0.034747199,81
90,160,0.034747199,216
163,130,0.034747199,235
215,166,0.034747199,288
23,227,0.035051999,23
28,29,0.035051999,28
144,196,0.035051999,271
